open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1766966400000,859.920,860.070,859.890,860.010,497.95,1766966459999,428237.58350,545,327.58,281716.99920,0
1766966460000,860.000,860.010,859.280,859.400,310.12,1766966519999,266567.82080,801,95.59,82166.39720,0
1766966520000,859.400,859.570,859.390,859.500,127.36,1766966579999,109465.65160,316,44.37,38135.13730,0
1766966580000,859.500,859.910,859.500,859.890,164.08,1766966639999,141078.62930,377,72.00,61902.04880,0
1766966640000,859.890,860.020,859.250,859.510,539.86,1766966699999,464023.67460,788,61.42,52805.49470,0
1766966700000,859.510,859.730,859.290,859.300,247.60,1766966759999,212822.93950,432,62.73,53922.53670,0
1766966760000,859.290,859.880,859.290,859.800,155.71,1766966819999,133859.59970,407,69.43,59679.96220,0
1766966820000,859.780,860.470,859.780,860.470,415.30,1766966879999,357198.44850,579,323.11,277898.87380,0
1766966880000,860.480,860.560,860.120,860.330,152.48,1766966939999,131192.32050,442,38.60,33209.99770,0
1766966940000,860.340,860.340,860.120,860.330,107.33,1766966999999,92332.19390,311,37.30,32086.62250,0
1766967000000,860.330,860.670,860.170,860.660,314.91,1766967059999,270957.27740,576,209.76,180481.45350,0
1766967060000,860.670,861.000,860.660,860.770,324.63,1766967119999,279461.51590,719,155.08,133505.32400,0
1766967120000,860.770,860.970,860.610,860.970,126.93,1766967179999,109261.83120,443,89.22,76802.52300,0
1766967180000,860.980,862.360,860.980,861.730,512.65,1766967239999,441792.41440,1307,294.21,253522.27160,0
1766967240000,861.730,861.740,861.060,861.320,268.57,1766967299999,231332.45450,615,112.85,97197.42460,0
1766967300000,861.310,861.320,860.650,860.650,115.78,1766967359999,99682.43700,473,23.52,20248.12110,0
1766967360000,860.650,860.850,860.460,860.850,151.06,1766967419999,130018.02550,457,107.96,92922.67850,0
1766967420000,860.850,860.850,860.220,860.230,144.43,1766967479999,124297.95360,436,50.41,43381.72050,0
1766967480000,860.230,860.490,860.180,860.210,107.22,1766967539999,92241.38000,389,53.24,45804.05700,0
1766967540000,860.210,860.320,860.060,860.320,75.01,1766967599999,64522.29180,264,37.14,31947.44310,0
1766967600000,860.310,860.330,859.870,859.930,191.33,1766967659999,164571.60640,553,37.82,32533.05350,0
1766967660000,859.920,860.600,859.920,860.600,151.74,1766967719999,130527.42550,376,133.62,114941.37610,0
1766967720000,860.590,860.850,860.210,860.850,167.78,1766967779999,144357.68930,482,88.25,75931.45000,0
1766967780000,860.850,862.360,860.850,862.140,1565.74,1766967839999,1349260.42050,2457,1152.90,993450.01490,0
1766967840000,862.140,863.390,861.800,862.130,1498.35,1766967899999,1292717.14100,2199,752.39,649126.83330,0
1766967900000,862.130,862.880,862.130,862.630,559.88,1766967959999,482864.24880,1119,313.47,270356.08640,0
1766967960000,862.620,862.620,862.340,862.390,194.13,1766968019999,167422.57210,520,45.59,39318.85730,0
1766968020000,862.390,862.670,862.250,862.660,332.40,1766968079999,286670.39100,559,224.29,193427.07370,0
1766968080000,862.660,862.840,862.500,862.510,192.18,1766968139999,165782.36310,510,64.12,55314.01390,0
1766968140000,862.510,863.450,862.510,863.180,300.13,1766968199999,259050.47490,681,192.11,165805.91110,0
