open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764633600000,86241.50,86318.40,86239.70,86280.00,121.085,1764633659999,10447797.57130,2956,74.629,6439185.01310,0
1764633660000,86280.10,86328.40,86280.00,86295.60,68.830,1764633719999,5940001.63460,2190,39.456,3404936.63140,0
1764633720000,86295.50,86295.60,86235.30,86251.00,75.789,1764633779999,6537081.64270,2665,42.993,3708158.96260,0
1764633780000,86251.00,86315.20,86243.90,86300.20,92.664,1764633839999,7994276.55720,2789,69.123,5963211.70640,0
1764633840000,86300.10,86334.20,86266.70,86269.80,108.338,1764633899999,9349264.26150,4033,66.237,5716010.48680,0
1764633900000,86269.90,86318.50,86224.50,86318.50,147.417,1764633959999,12718022.09300,3528,110.392,9523801.59420,0
1764633960000,86318.50,86392.10,86302.80,86371.10,152.144,1764634019999,13137981.04790,3692,82.519,7126213.05800,0
1764634020000,86371.10,86538.60,86371.10,86501.10,212.799,1764634079999,18403131.33960,4962,148.225,12817597.66730,0
1764634080000,86501.10,86501.10,86411.30,86429.10,91.591,1764634139999,7918520.54380,2942,21.262,1837857.95740,0
1764634140000,86429.20,86448.20,86407.00,86436.40,51.021,1764634199999,4409947.65990,1934,24.436,2112095.44760,0
1764634200000,86436.50,86436.50,86410.20,86410.50,37.550,1764634259999,3244977.36830,1385,18.076,1562022.15400,0
1764634260000,86410.40,86446.00,86385.50,86392.50,57.568,1764634319999,4974675.34850,2276,26.330,2275379.94250,0
1764634320000,86392.60,86396.70,86344.20,86363.80,36.241,1764634379999,3130039.58690,1451,12.825,1107637.30330,0
1764634380000,86363.80,86369.10,86336.90,86347.40,37.736,1764634439999,3258485.40130,1402,14.433,1246274.14960,0
1764634440000,86347.40,86351.80,86262.60,86275.40,77.225,1764634499999,6665025.10960,2288,14.378,1240851.30270,0
1764634500000,86275.50,86332.00,86275.40,86322.10,129.894,1764634559999,11210108.06530,2839,108.747,9384898.03790,0
1764634560000,86322.00,86363.30,86284.90,86284.90,53.864,1764634619999,4650480.89020,2126,28.419,2453603.50770,0
1764634620000,86285.00,86341.60,86269.10,86303.90,54.689,1764634679999,4719900.55750,2365,34.153,2947567.81500,0
1764634680000,86303.80,86362.30,86280.00,86312.70,68.848,1764634739999,5943146.98570,2532,21.418,1848889.01500,0
1764634740000,86312.70,86385.10,86271.80,86276.20,46.141,1764634799999,3982963.64680,2376,21.290,1837806.21920,0
1764634800000,86276.20,86281.80,86170.10,86178.00,222.406,1764634859999,19175208.04130,4757,70.253,6056793.43560,0
1764634860000,86178.00,86191.40,86140.10,86140.10,278.810,1764634919999,24022395.24360,5369,161.044,13875617.94980,0
