open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1766448000000,3008.50,3008.50,3005.00,3005.14,2326.664,1766448059999,6994717.26850,4138,802.746,2413330.62080,0
1766448060000,3005.14,3005.83,3004.76,3005.21,931.790,1766448119999,2800348.32690,1265,583.011,1752132.31602,0
1766448120000,3005.21,3005.83,3005.21,3005.83,587.197,1766448179999,1764856.29821,1066,221.479,665638.85680,0
1766448180000,3005.82,3006.85,3004.40,3006.85,991.073,1766448239999,2978993.14758,2380,602.283,1810444.54180,0
1766448240000,3006.85,3006.85,3003.93,3004.58,1330.091,1766448299999,3996409.88257,2778,909.673,2733154.90621,0
1766448300000,3004.57,3004.75,3003.82,3004.75,646.918,1766448359999,1943632.72353,1376,198.468,596276.69257,0
1766448360000,3004.75,3005.05,3004.32,3004.96,360.964,1766448419999,1084595.71211,1195,114.085,342797.24449,0
1766448420000,3004.96,3008.96,3004.45,3006.91,3456.299,1766448479999,10394182.13769,4398,2872.753,8639196.09663,0
1766448480000,3006.90,3007.24,3006.67,3006.77,1179.614,1766448539999,3547018.96158,1235,831.177,2499268.25165,0
1766448540000,3006.77,3008.15,3006.25,3007.98,616.914,1766448599999,1855165.17899,1498,395.708,1190015.99809,0
1766448600000,3007.97,3008.33,3005.88,3005.88,731.597,1766448659999,2200262.70064,1894,313.335,942354.79169,0
1766448660000,3005.88,3006.20,3005.46,3005.82,349.291,1766448719999,1049876.83396,1086,237.554,714019.78241,0
1766448720000,3005.82,3007.00,3005.70,3006.32,391.632,1766448779999,1177348.93623,1697,295.879,889506.11078,0
1766448780000,3006.32,3006.47,3005.96,3006.46,243.956,1766448839999,733356.34470,753,161.563,485674.66610,0
1766448840000,3006.47,3008.02,3006.28,3008.02,534.144,1766448899999,1606174.69394,1507,379.123,1140012.48147,0
1766448900000,3008.02,3008.89,3008.01,3008.17,529.550,1766448959999,1593106.95689,1557,358.470,1078428.01870,0
1766448960000,3008.17,3022.86,3008.17,3022.74,21300.217,1766449019999,64232861.85377,18951,15723.594,47414858.79272,0
1766449020000,3022.80,3025.00,3017.00,3018.48,18185.388,1766449079999,54939055.36520,14688,7890.848,23837585.54732,0
1766449080000,3018.49,3022.98,3017.87,3021.36,7821.111,1766449139999,23622474.42058,9629,6161.823,18611689.04945,0
1766449140000,3021.36,3021.40,3018.66,3018.71,2180.321,1766449199999,6584681.37595,3645,977.141,2951231.75264,0
1766449200000,3018.71,3018.86,3015.00,3015.23,1715.417,1766449259999,5175026.85676,3334,546.114,1647507.27242,0
1766449260000,3015.24,3018.21,3015.23,3017.00,3551.479,1766449319999,10715399.75640,4113,2637.177,7956720.25952,0
1766449320000,3017.00,3017.00,3015.89,3016.99,965.369,1766449379999,2912016.96672,1859,529.729,1597876.42934,0
1766449380000,3017.00,3017.29,3015.67,3016.61,1099.023,1766449439999,3315051.14512,1908,255.811,771641.89816,0
1766449440000,3016.62,3017.87,3016.61,3017.66,645.795,1766449499999,1948536.50461,1531,326.588,985360.74691,0
1766449500000,3017.66,3017.67,3016.52,3017.66,772.799,1766449559999,2331529.83062,1802,324.275,978355.47777,0
1766449560000,3017.67,3017.67,3017.16,3017.47,763.927,1766449619999,2305026.05725,1595,508.206,1533415.98852,0
1766449620000,3017.47,3019.00,3017.46,3018.90,1228.504,1766449679999,3707891.14370,2534,858.105,2589828.47155,0
1766449680000,3018.91,3022.21,3018.75,3022.07,2260.246,1766449739999,6826188.47917,4235,1237.909,3738663.84671,0
1766449740000,3022.06,3022.06,3018.24,3018.24,1461.716,1766449799999,4415640.51055,3363,700.665,2116591.04482,0
